Cityscapes,2016,9736,25000,All Inclusive
 KITTI ,2013,7232,15000,All Inclusive
nuScenes,2020,2750,240000,All Inclusive
SYNTHIA Dataset,2016,2021,200000,Task Specific - Segmentation
Playing for Data,2016,1817,25000,Task Specific - Segmentation
Caltech Pedestrian Detection Benchmark,2009,1685,250000,Task Specific - Pedestrian
Waymo,2020,1437,230000,All Inclusive
Matterport3D,2017,1245,194400,Sensor Data Specilized
BDD100K,2018,1087,80000000,All Inclusive
Mapillary Vistas Dataset ,2017,1055,2500,All Inclusive
Caltech lanes,2008,1000,,Task Specific - Lane Detection 
SemanticKITTI,2019,983,43552,Sensor Data Specilized
"ETH Pedestrian
",2008,834,,Task Specific - Pedestrian
Beyond PASCAL,2014,819,,Task Specific - Detection
Traffic-Sign Detection and Classification in the Wild,2016,790,100000,Task Specific - Traffic Sign
KAIST Benchmark,2015,755,95328,Task Specific - Pedestrian
highD - Highway Drone Dataset,2018,755,,V2V/V2X
CityPersons,2017,744,,Task Specific - Pedestrian
CULane Dataset,2017,717,133235,Task Specific - Lane Detection 
Foggy Cityscapes,2018,669,20000,Bad Conditions
SEMANTIC3D:NET,2017,650,,Task Specific - Segmentation
TUD Brussels - ,2009,525,508,Task Specific - Pedestrian
KUL Belgium Traffic Sign dataset,2011,472,9006,Task Specific - Traffic Sign
Ua-detrac,2015,442,,Task Specific - Detection
VPGNet,2017,400,21097,Task Specific - Lane Detection 
Ford autonomous vehicle dataset,2010,378,,All Inclusive
No crash ?,2019,361,,Task Specific - Other
Collective Activity Dataset,2009,351,,Task Specific - Other
"University of Michigan North Campus
Long-Term Vision and Lidar Dataset",2015,349,,Sensor Data Specilized
MVSEC,2018,307,,All Inclusive
ApolloScape,2018,276,143906,All Inclusive
INTERACTION Dataset,2019,276,10479,V2V/V2X
The Málaga Stereo and Laser Urban Data Set,2013,262,,All Inclusive
Oxford Radar RobotCar ,2019,259,2400000,Sensor Data Specilized
A2D2,2020,251,41277,All Inclusive
Paris-Lille-3D,2017,231,143100000,Sensor Data Specilized
Bosch Small Traffic Lights Dataset,2017,231,13427,Task Specific - Traffic Sign
Veri-wild,2019,228,,Task Specific - Other
DR(eye)VE ,2017,224,555000,Task Specific - Other
IDD,2018,221,10004,Task Specific - Other
One Thousand and One Hours Lyft Level 5,2020,218,170000,All Inclusive
"inD Dataset
Road User Trajectories at German Intersections",2019,217,,V2V/V2X
Boxcars,2016,208,,Task Specific - Other
TRANCOS Dataset,2015,203,1244,Task Specific - Other
PIE,2019,199,911000,Task Specific - Other
WoodScape,2019,189,425000,Sensor Data Specilized
H3D Dataset ,2019,187,1000000,All Inclusive
TME MOTORWAY DATASET,2012,186,,Task Specific - Detection
TorontoCity,2016,179,,Task Specific - Segmentation
"Need Data for Driver Behaviour Analysis?
Presenting the Public UAH-DriveSet",2016,175,,Task Specific - Other
"Complex urban dataset with multi-level
sensors from highly diverse urban
environments",2019,167,,Task Specific - Other
Nighttime Driving - Dataset ,2018,163,35000,Bad Conditions
Roundabouts,2019,159,,Task Specific - Other
Synscapes,2018,155,25000,All Inclusive
WildDash ,2018,150,1800,Task Specific - Segmentation
VEIS,2018,148,61305,Task Specific - Segmentation
Automotive Radar Dataset for Deep Learning Based 3D Object Detection,2019,139,500,Sensor Data Specilized
Virtual KITTI 2,2020,135,,All Inclusive
LostAndFoundDataset,2016,134,2104,Task Specific - Anomaly
CAOS Dataset,2022,130,8000,Task Specific - Anomaly
 CADC,2020,129,263.637,Bad Conditions
ACDC,2021,129,4006,Bad Conditions
MulRan,2020,129,,Task Specific - Other
KITTI-360,2021,124,300000,All Inclusive
Paris-rue-Madame,2014,122,10000000,Sensor Data Specilized
DBNet,2018,115,10000,Task Specific - Other
Toronto-3D,2020,113,,Task Specific - Segmentation
RADIATE,2020,103,,Bad Conditions
Generic 3D Representation via Pose Estimation and Matching,2016,97,25000000,Task Specific - Other
JAAD,2016,97,,Task Specific - Other
HEV-I ,2019,97,,Task Specific - Detection
A*3D Dataset,2019,95,39179,All Inclusive
rounD Dataset,2020,93,,V2V/V2X
Argoverse 2,2023,87,6000000,All Inclusive
"The Newer College Dataset: Handheld LiDAR, Inertial and Vision with Ground Truth - Oxford ",2020,84,,Sensor Data Specilized
"Vehicle Image Database
",2012,81,7000,Task Specific - Segmentation
ONCE ,2021,80,7000000,All Inclusive
PreSIL,2019,79,50000,All Inclusive
CARRADA,2020,79,12666,Sensor Data Specilized
CADP,2018,77,,Task Specific - Other
OPV2V,2021,76,11464,V2V/V2X
Fishyscapes ,2019,76,1030,Task Specific - Segmentation
