KITTI,7232,2013,41000
nuScenes,2750,2020,40000
Argoverse 2,87,2023,150000
Waymo,1437,2020,230000
ONCE,103,2021,16000
ZOD,4,2023,100000
Lyft Level 5,218,2020,100000
Cityscapes,9736,2016,25000
BDD100K,1087,2018,12000000
Mapillary Vistas,1055,2017,25000
SemanticKITTI,983,2019,43000
RANUS,32,2018,40000
WoodScape,189,2019,100000
Automotive Radar,139,2019,500
Radar RobotCar,259,2019,0
CADC,129,2020,63000
ACDC,129,2021,4006
Foggy Cityscapes,669,2019,20000
Nighttime Driving - Dataset ,163,2018,35000
STF,41,2019,13500
Snowfall Sim,22,2022,4000
CityPersons,744,2017,25000
MPD,755,2015,95000
Caltech Ped,1685,2009,250000
Caltech lanes,1000,2014,1224
LLAMAS,56,2019,100000
PASCAL3D+,819,2014,30000
UA-DETRAC,442,2015,140000
SYNTHIA,2021,2016,213000
Playing for Data,1817,2016,25000
MulRan,129,2020,-1
IDD,221,2018,10000
Tsinghua-Tencent 100K,790,2016,100000
GTSDB,912,2013,900
LostAndFoundDataset,134,2016,2104
CAOS,130,2019,13125
SegmentMeIfYouCan,55,2021,427
Dr(eye)ve,224,2017,555000
Roundabouts,159,2018,-1
PIE,199,2019,293000
BoxCars,208,2016,63000
VERI-Wild,228,2019,400000
CCD (Car Crash Dataset),48,2020,-1
No crash ?,361,2019,-1
OPV2V,75,2022,11000
V2V4Real,3,2023,40000
V2XSet,74,2022,11000
INTERACTION,279,2019,-1
IPS300+,4,2021,623
